Interval=	0.0025 s
ExcelDateTime=	4.4991596726522410e+004	3/6/2023 14:19:17.171536
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
3.26	-6.4
3.2625	-13.0
3.265	-2.7
3.2675	0.6
3.27	-3.4
3.2725	-11.6
3.275	-17.5
3.2775	-21.2
3.28	-29.0
3.2825	-27.0
3.285	-22.0
3.2875	-22.7
3.29	-19.6
3.2925	-20.6
3.295	-17.3
3.2975	-27.0
3.3	-22.8
3.3025	-16.0
3.305	-28.8
3.3075	-28.0
3.31	-30.1
3.3125	-27.5
3.315	-17.2
3.3175	-14.1
3.32	-16.0
3.3225	-17.6
3.325	-18.8
3.3275	-23.4
3.33	-18.8
3.3325	-14.0
3.335	-18.9
3.3375	-17.5
3.34	-25.3
3.3425	-25.9
3.345	-16.9
3.3475	-22.4
3.35	-25.4
3.3525	-27.8
3.355	-18.6
3.3575	-17.7
3.36	-26.5
3.3625	-18.9
3.365	-24.5
3.3675	-31.9
3.37	-31.8
3.3725	-33.4
3.375	-40.8
3.3775	-42.3
3.38	-39.7
3.3825	-47.0
3.385	-41.5
3.3875	-41.0
3.39	-49.0
3.3925	-48.2
3.395	-41.2
3.3975	-37.3
3.4	-41.0
3.4025	-38.6
3.405	-35.5
3.4075	-38.4
3.41	-36.7
3.4125	-43.2
3.415	-44.7
3.4175	-35.4
3.42	-35.6
3.4225	-35.1
3.425	-33.7
3.4275	-29.6
3.43	-33.5
3.4325	-36.9
3.435	-30.7
3.4375	-35.3
3.44	-38.6
3.4425	-24.3
3.445	-26.2
3.4475	-39.7
3.45	-38.7
3.4525	-31.3
3.455	-32.7
3.4575	-58.2
3.46	-54.3
3.4625	-46.0
3.465	-53.4
3.4675	-40.7
3.47	-34.7
3.4725	-36.0
3.475	-41.6
3.4775	-46.8
3.48	-43.4
3.4825	-43.2
3.485	-49.0
3.4875	-46.7
3.49	-39.7
3.4925	-38.8
3.495	-36.6
3.4975	-32.4
3.5	-30.9
3.5025	-27.9
